PLAYER_NAME,season,vers_VersatilityRating,vers_MatchupDifficulty,vers_CraftedDPM,TEAM_ABBREVIATION,POSITION
Shake Milton,2023-24,60.3,37.2,-0.7 28%,LAL,SG
Simone Fontecchio,2023-24,70.0,36.0,-0.5 31%,DET,PF
Spencer Dinwiddie,2023-24,69.5,51.5,-1 16%,DAL,PG
Stephen Curry,2023-24,41.7,40.9,-0.9 20%,GSW,PG
Stephon Castle,2023-24,35.7,87.8,-1.9 3%,SAS,SG
Steven Adams,2023-24,12.3,36.9,1.7 90%,HOU,C
Svi Mykhailiuk,2023-24,71.7,52.2,-0.6 20%,UTA,SG
T.J. McConnell,2023-24,17.5,50.4,-0.3 45%,IND,PG
Taj Gibson,2023-24,8.5,33.2,1 78%,CHA,C
Talen Horton-Tucker,2023-24,78.9,37.0,-0.6 29%,CHI,SG
Tari Eason,2023-24,98.4,63.1,2.5 96%,HOU,PF
Taurean Prince,2023-24,76.2,65.2,-0.3 35%,MIL,SF
Terance Mann,2023-24,69.3,56.3,-1.3 9%,ATL,SF
Terrence Shannon Jr.,2023-24,59.4,33.3,-0.5 34%,MIN,SG
Terry Rozier,2023-24,25.6,61.2,-1.1 15%,MIA,PG
Thomas Bryant,2023-24,1.3,37.9,0 48%,IND,C
Tidjane Salaün,2023-24,81.6,36.4,0 41%,CHA,PF
Tim Hardaway Jr.,2023-24,36.8,60.2,-1.1 10%,DET,SG
Tobias Harris,2023-24,56.1,51.2,1.6 86%,DET,PF
Torrey Craig,2023-24,95.1,52.2,-0.7 34%,BOS,PF
Tosan Evbuomwan,2023-24,93.3,39.4,0 53%,BKN,SF
Toumani Camara,2023-24,92.2,94.3,1.9 92%,POR,PF
Trae Young,2023-24,25.3,35.6,-2.5 1%,ATL,PG
Trayce Jackson-Davis,2023-24,4.9,53.8,0.4 65%,GSW,C
Tre Jones,2023-24,22.2,63.6,0.4 68%,CHI,PG
Tre Mann,2023-24,36.5,50.9,-0.9 20%,CHA,PG
Trendon Watford,2023-24,93.7,35.5,-0.1 45%,BKN,PF
Trevelin Queen,2023-24,55.4,56.3,0.7 72%,ORL,SG
Trey Jemison,2023-24,11.9,26.2,-0.1 48%,,C
Trey Lyles,2023-24,78.5,44.1,0.2 62%,SAC,PF
Trey Murphy III,2023-24,84.5,65.8,-1 18%,NOP,SF
Tristan Thompson,2023-24,12.8,10.4,0.4 71%,CLE,C
Tristan Vukcevic,2023-24,22.0,8.8,-0.2 31%,WAS,C
Tristan da Silva,2023-24,90.6,38.0,-0.6 28%,ORL,PF
Ty Jerome,2023-24,52.7,41.8,-0.4 36%,CLE,PG
Tyler Herro,2023-24,29.1,42.8,-1.4 11%,MIA,SG
Tyler Kolek,2023-24,13.2,17.8,-0.6 36%,NYK,PG
Tyrese Haliburton,2023-24,21.3,33.6,-0.2 49%,IND,PG
Tyrese Martin,2023-24,63.0,44.1,-0.8 22%,BKN,SG
Tyrese Maxey,2023-24,51.6,56.7,-1.7 6%,PHI,PG
Tyus Jones,2023-24,20.9,61.3,-2 4%,PHX,PG
Vasilije Micić,2023-24,50.0,41.5,-1.1 14%,PHX,PG
Victor Wembanyama,2023-24,7.2,55.2,4 100%,SAS,C
Vince Williams Jr.,2023-24,57.0,87.2,-0.1 52%,MEM,SG
Vít Krejčí,2023-24,52.0,41.3,0.2 55%,ATL,SF
Walker Kessler,2023-24,8.7,66.3,1.8 89%,UTA,C
Wendell Carter Jr.,2023-24,14.8,55.7,1.9 91%,ORL,C
Wendell Moore Jr.,2023-24,71.5,30.0,-0.4 33%,CHA,SG
Yves Missi,2023-24,8.1,56.4,-1.4 42%,NOP,C
Zaccharie Risacher,2023-24,76.5,50.0,-1.7 3%,ATL,SF
Zach Collins,2023-24,6.7,45.3,1.3 84%,CHI,C
Zach Edey,2023-24,3.8,43.4,0.7 81%,MEM,C
Zach LaVine,2023-24,64.1,61.6,-1.3 7%,SAC,SG
Zeke Nnaji,2023-24,92.8,45.2,1.2 82%,DEN,PF
Ziaire Williams,2023-24,80.9,71.8,-0.3 43%,BKN,SF
Zion Williamson,2023-24,66.1,58.3,0.1 56%,NOP,PF
