AGE_x,MP,PLAYER_NAME,PLUSMINUS,LT_06_PCT,FREQ,TEAM_ABBREVIATION_x,season,source_x,POSITION_x,AGE_y,DLEBRON,DDRIP,DDARKO,DBPM,CraftedDPM_x,TEAM_ABBREVIATION_y,source_y,POSITION_y,AGE,VersatilityRating,MatchupDifficulty,CraftedDPM_y,TEAM_ABBREVIATION,POSITION,source
,,Brandon Ingram,,,,,2023-24,,,,,,,,,,,,27,52.2,46.4,-0.7 25%,TOR,SF,craftednba
22.0,924.0,Brandon Miller,-8.6%,54.7%,41.1%,CHA,2023-24,craftednba,SF,,,,,,,,,,22,46.6,52.3,-1.2 14%,CHA,SF,craftednba
,,Brandon Williams,,,,,2023-24,,,,,,,,,,,,25,23.3,48.5,-0.7 26%,DAL,PG,craftednba
,,Brice Sensabaugh,,,,,2023-24,,,,,,,,,,,,21,66.6,34.8,-2.7 1%,UTA,SF,craftednba
,,Brook Lopez,,,,,2023-24,,,36.0,0.9,0.9,2.7,0.4,2.7 96%,MIL,craftednba,C,36,6.5,48.9,2.7 96%,MIL,C,craftednba
,,Bruce Brown,,,,,2023-24,,,,,,,,,,,,28,77.1,57.1,-0.8 24%,NOP,SG,craftednba
,,Bub Carrington,,,,,2023-24,,,,,,,,,,,,19,34.1,58.8,-0.4 35%,WAS,SG,craftednba
,,Buddy Hield,,,,,2023-24,,,,,,,,,,,,31,60.8,49.3,-0.7 27%,GSW,SG,craftednba
,,CJ McCollum,,,,,2023-24,,,,,,,,,,,,33,53.1,53.2,-1.8 4%,NOP,SG,craftednba
,,Cade Cunningham,,,,,2023-24,,,,,,,,,,,,23,85.7,51.9,-0.5 26%,DET,SG,craftednba
,,Caleb Houstan,,,,,2023-24,,,,,,,,,,,,22,50.4,23.4,-0.6 34%,ORL,SG,craftednba
,,Caleb Martin,,,,,2023-24,,,,,,,,,,,,29,88.6,79.8,0.3 63%,DAL,SF,craftednba
,,Cam Reddish,,,,,2023-24,,,,,,,,,,,,25,74.9,78.1,0.5 68%,LAL,SF,craftednba
,,Cam Spencer,,,,,2023-24,,,,,,,,,,,,24,15.5,27.0,-0.8 23%,MEM,SG,craftednba
,,Cam Whitmore,,,,,2023-24,,,,,,,,,,,,20,92.4,36.7,-0.9 12%,HOU,SF,craftednba
,,Cameron Johnson,,,,,2023-24,,,,,,,,,,,,28,72.6,52.4,-0.7 24%,BKN,PF,craftednba
,,Cameron Payne,,,,,2023-24,,,,,,,,,,,,30,23.5,28.8,-0.2 55%,NYK,PG,craftednba
,,Caris LeVert,,,,,2023-24,,,,,,,,,,,,30,61.7,54.9,-0.2 46%,ATL,SF,craftednba
,,Cason Wallace,,,,,2023-24,,,,,,,,,,,,21,52.9,71.9,1.5 86%,OKC,PG,craftednba
,,Charles Bassey,,,,,2023-24,,,,,,,,,,,,24,11.0,44.7,0.7 73%,SAS,C,craftednba
22.0,877.0,Chet Holmgren,-18.4%,45%,47%,OKC,2023-24,craftednba,C,22.0,1.7,2.2,2.7,1.9,3.2 99%,OKC,craftednba,C,22,33.6,55.3,3.2 99%,OKC,C,craftednba
,,Chris Boucher,,,,,2023-24,,,,,,,,,,,,32,75.8,30.9,-0.1 51%,TOR,C,craftednba
,,Chris Paul,,,,,2023-24,,,,,,,,,,,,39,54.5,42.0,0.8 74%,SAS,PG,craftednba
,,Christian Braun,,,,,2023-24,,,,,,,,,,,,23,36.3,84.4,0 58%,DEN,SF,craftednba
24.0,342.0,Christian Koloko,-10.2%,54.3%,43.9%,LAL,2023-24,craftednba,C,,,,,,,,,,24,16.1,27.6,1.3 85%,LAL,C,craftednba
30.0,1176.0,Clint Capela,-10.3%,54.4%,41.1%,ATL,2023-24,craftednba,C,,,,,,,,,,30,0.4,52.7,1.3 85%,ATL,C,craftednba
,,Coby White,,,,,2023-24,,,,,,,,,,,,25,42.4,42.9,-1.9 4%,CHI,PG,craftednba
,,Cody Martin,,,,,2023-24,,,,,,,,,,,,29,98.2,75.3,1.8 88%,PHX,SF,craftednba
,,Cody Williams,,,,,2023-24,,,,,,,,,,,,20,82.7,56.0,-1.1 16%,UTA,SF,craftednba
,,Colby Jones,,,,,2023-24,,,,,,,,,,,,22,56.3,34.6,0.4 63%,WAS,SG,craftednba
,,Cole Anthony,,,,,2023-24,,,,,,,,,,,,24,28.7,49.4,0.4 66%,ORL,PG,craftednba
,,Collin Gillespie,,,,,2023-24,,,,,,,,,,,,25,32.3,55.6,-0.2 30%,PHX,PG,craftednba
,,Collin Sexton,,,,,2023-24,,,,,,,,,,,,26,58.7,60.8,-2.7 1%,UTA,PG,craftednba
,,Corey Kispert,,,,,2023-24,,,,,,,,,,,,25,51.1,33.0,-2.6 1%,WAS,SF,craftednba
,,Cory Joseph,,,,,2023-24,,,,,,,,,,,,33,21.5,48.8,-0.1 55%,ORL,PG,craftednba
,,Craig Porter Jr.,,,,,2023-24,,,,,,,,,,,,24,32.7,35.3,-0.4 37%,CLE,PG,craftednba
,,D'Angelo Russell,,,,,2023-24,,,,,,,,,,,,28,62.3,49.7,-0.2 47%,BKN,PG,craftednba
,,DaQuan Jeffries,,,,,2023-24,,,,,,,,,,,,27,87.9,49.8,-0.4 23%,CHA,SG,craftednba
,,Dalano Banton,,,,,2023-24,,,,,,,,,,,,25,79.8,31.7,-0.3 39%,POR,SG,craftednba
,,Dalen Terry,,,,,2023-24,,,,,,,,,,,,22,48.0,59.9,0.6 76%,CHI,SG,craftednba
,,Dalton Knecht,,,,,2023-24,,,,,,,,,,,,23,66.8,40.0,-2 2%,LAL,SF,craftednba
,,Damian Lillard,,,,,2023-24,,,,,,,,,,,,34,31.8,44.9,-1 19%,MIL,PG,craftednba
,,Damion Baugh,,,,,2023-24,,,,,,,,,,,,24,51.8,68.4,-1 11%,CHA,SG,craftednba
26.0,1226.0,Daniel Gafford,-14.5%,48.6%,44.2%,DAL,2023-24,craftednba,C,,,,,,,,,,26,8.3,56.6,1 77%,DAL,C,craftednba
,,Danté Exum,,,,,2023-24,,,,,,,,,,,,29,85.0,68.4,-0.1 47%,DAL,SG,craftednba
,,Dariq Whitehead,,,,,2023-24,,,,,,,,,,,,20,40.1,18.1,-0.9 12%,BKN,SG,craftednba
,,Darius Garland,,,,,2023-24,,,,,,,,,,,,25,28.0,56.9,-0.9 16%,CLE,PG,craftednba
23.0,410.0,David Roddy,-8.2%,53.8%,42.5%,HOU,2023-24,craftednba,PF,,,,,,,,,,23,67.9,38.7,-0.6 26%,HOU,PF,craftednba
,,Davion Mitchell,,,,,2023-24,,,,,,,,,,,,26,17.9,96.1,0.5 73%,MIA,PG,craftednba
,,Day'Ron Sharpe,,,,,2023-24,,,,,,,,,,,,23,9.0,42.6,1.4 86%,BKN,C,craftednba
,,De'Aaron Fox,,,,,2023-24,,,,,,,,,,,,27,35.9,65.4,-0.6 29%,SAS,PG,craftednba
,,De'Andre Hunter,,,,,2023-24,,,,,,,,,,,,27,84.1,62.9,-1.1 13%,CLE,SF,craftednba
,,DeAndre Jordan,,,,,2023-24,,,,,,,,,,,,36,3.1,33.2,0.9 80%,DEN,C,craftednba
,,DeMar DeRozan,,,,,2023-24,,,,,,,,,,,,35,48.7,35.7,-1 16%,SAC,SF,craftednba
,,Dean Wade,,,,,2023-24,,,28.0,0.9,0.8,1.4,1.2,2.3 95%,CLE,craftednba,PF,28,95.3,62.0,2.3 95%,CLE,PF,craftednba
,,Deandre Ayton,,,,,2023-24,,,,,,,,,,,,26,5.2,59.4,0.4 67%,POR,C,craftednba
,,Dejounte Murray,,,,,2023-24,,,,,,,,,,,,28,43.3,84.0,-0.8 22%,NOP,PG,craftednba
,,Delon Wright,,,,,2023-24,,,32.0,0.4,2.2,1.2,1.4,2 92%,NYK,craftednba,PG,32,24.4,48.3,2 92%,NYK,PG,craftednba
,,Deni Avdija,,,,,2023-24,,,,,,,,,,,,24,93.9,51.5,0.2 64%,POR,SF,craftednba
,,Dennis Schröder,,,,,2023-24,,,,,,,,,,,,31,25.1,77.9,-0.7 26%,DET,PG,craftednba
,,Dereck Lively II,,,,,2023-24,,,20.0,1.6,2.0,1.5,2.2,2.5 97%,DAL,craftednba,C,20,19.3,60.4,2.5 97%,DAL,C,craftednba
,,Derrick Jones Jr.,,,,,2023-24,,,,,,,,,,,,27,80.7,83.0,1.1 82%,LAC,PF,craftednba
,,Derrick White,,,,,2023-24,,,,,,,,,,,,30,44.8,64.2,1.6 88%,BOS,SG,craftednba
,,Desmond Bane,,,,,2023-24,,,,,,,,,,,,26,50.7,61.9,0.1 53%,MEM,SG,craftednba
,,Devin Booker,,,,,2023-24,,,,,,,,,,,,28,58.1,56.0,-1.9 3%,PHX,SG,craftednba
,,Devin Carter,,,,,2023-24,,,,,,,,,,,,22,19.1,61.2,-0.1 61%,SAC,SG,craftednba
,,Devin Vassell,,,,,2023-24,,,,,,,,,,,,24,40.6,53.7,-1.3 10%,SAS,SG,craftednba
,,Dillon Brooks,,,,,2023-24,,,,,,,,,,,,29,99.6,83.5,0.5 70%,HOU,SF,craftednba
,,Dillon Jones,,,,,2023-24,,,,,,,,,,,,23,91.7,17.9,0.1 66%,OKC,SF,craftednba
,,Domantas Sabonis,,,,,2023-24,,,,,,,,,,,,28,0.9,55.7,0.9 73%,SAC,C,craftednba
,,Dominick Barlow,,,,,2023-24,,,,,,,,,,,,21,20.0,29.2,-0.4 42%,ATL,PF,craftednba
20.0,1324.0,Donovan Clingan,-13%,50.8%,35.3%,POR,2023-24,craftednba,C,20.0,2.2,2.2,1.0,1.4,2.2 97%,POR,craftednba,C,20,7.4,39.9,2.2 97%,POR,C,craftednba
,,Donovan Mitchell,,,,,2023-24,,,,,,,,,,,,28,47.3,42.1,0.2 66%,CLE,SG,craftednba
,,Donte DiVincenzo,,,,,2023-24,,,,,,,,,,,,28,35.0,43.5,0.2 56%,MIN,SG,craftednba
,,Dorian Finney-Smith,,,,,2023-24,,,,,,,,,,,,31,100.0,84.5,1.6 87%,LAL,SF,craftednba
,,Doug McDermott,,,,,2023-24,,,,,,,,,,,,33,38.1,27.1,-2.2 2%,SAC,SF,craftednba
34.0,1983.0,Draymond Green,-8.9%,54.4%,32.2%,GSW,2023-24,craftednba,PF,34.0,2.4,3.0,3.4,2.8,4.5 100%,GSW,craftednba,PF,34,65.0,57.3,4.5 100%,GSW,PF,craftednba
,,Drew Eubanks,,,,,2023-24,,,,,,,,,,,,27,9.4,36.4,0.9 75%,LAC,C,craftednba
,,Dru Smith,,,,,2023-24,,,,,,,,,,,,27,20.4,62.0,1.3 84%,MIA,SG,craftednba
,,Duncan Robinson,,,,,2023-24,,,,,,,,,,,,30,37.7,32.2,-0.7 25%,MIA,SF,craftednba
,,Duop Reath,,,,,2023-24,,,,,,,,,,,,28,26.0,29.8,-0.8 20%,POR,C,craftednba
