column,old_mean,new_mean,rel_diff
2P,116.23374340949033,123.6679462571977,0.06395907616531528
2P%,51.13893992932862,51.270674373795764,0.002576010465785752
2PA,218.27592267135324,232.23224568138195,0.0639389028309914
3P,51.27416520210896,54.74664107485604,0.0677236939706273
3P%,31.096487985212566,31.447721774193546,0.011294966465280354
3PA,145.0896309314587,154.59884836852208,0.06554029654645377
AST,100.89103690685413,107.4721689059501,0.06523009576333151
AST%,13.313172541743969,13.440120967741937,0.009535550267970075
AST_per_36,3.2469947275922673,3.284299424184261,0.011488992043927518
Age,26.240773286467487,26.113243761996163,0.004859975850524458
BLK,19.465729349736378,20.738963531669867,0.06540901494403378
BLK%,1.81873840445269,1.8260080645161292,0.003997089436082403
BPM,-1.7489795918367348,-1.5483870967741935,0.11469115820372114
DBPM,-0.23617810760667907,-0.1844758064516129,0.21891233560457707
DRB,140.48154657293497,149.00191938579655,0.06065118886228895
DWS,1.0402597402597404,1.095766129032258,0.05335820144169467
FG,167.5079086115993,178.41458733205374,0.06511142554912852
FG%,44.16632688927944,44.417658349328214,0.005690567401695679
FGA,363.36555360281193,386.83109404990404,0.06457832949333933
FT,69.76449912126537,74.4126679462572,0.06662656341748066
FT%,74.85056710775048,74.75774390243902,0.0012401135876210156
FTA,89.97188049209139,95.86180422264876,0.0654640505271537
GP,43.16695957820738,45.27639155470249,0.04886681844416942
GS,20.884007029876976,22.291746641074855,0.06740754344623033
Losses,40.644295302013425,40.57783018867924,0.0016352876299195638
MP,993.4358523725834,1052.1746641074856,0.0591269296297476
OBPM,-1.5153988868274582,-1.3667338709677421,0.09810289366838157
ORB,42.349736379613354,44.81573896353167,0.05822946716394114
ORB%,5.133024118738404,5.120967741935484,0.0023487863146609746
OWS,1.1205936920222634,1.1909274193548385,0.062764700384477
Offensive_Load%,6.436854130052724,7.030057581573897,0.09215735505819538
PER,12.839332096474955,13.054032258064517,0.016722066224028206
PF,80.43057996485061,85.06333973128599,0.05759948229218183
PTS,456.05448154657296,485.98848368522073,0.06563689942731282
PTS_per_36,14.319050966608083,14.507504798464492,0.013161056015225336
Player_Poss,456.5999297012303,486.1196928982726,0.06465126531306761
Playmaking_Usage%,0.43061511423550086,0.4703071017274472,0.09217509135117555
STL,31.34797891036907,33.186180422264876,0.05863859731281499
STL%,1.5504638218923934,1.5641129032258063,0.008803224648444198
Scoring_Usage%,4.652952548330404,5.0809021113243755,0.09197376473298409
TOV,53.64674868189807,57.10940499040307,0.06454550170480951
TOV%,12.208905380333952,12.146975806451612,0.005072491919061867
TRB,182.83128295254832,193.8176583493282,0.06009023849398472
TS%,53.63551845342706,54.02612284069098,0.007282569433967224
TeamID,1265279261.3497365,1310748188.900192,0.0359358830413071
Team_Poss,8660.346151142356,8441.339270633396,0.025288467306825956
Tm_AST,1908.1880492091389,1863.0230326295584,0.023669059555372095
Tm_DRB,2665.3743409490335,2588.880998080614,0.028698911703780847
Tm_FG,3172.720562390158,3096.464491362764,0.02403491562772454
Tm_FGA,6892.934973637962,6718.752399232246,0.025269725461197212
Tm_FTA,1705.244288224956,1662.4836852207293,0.02507593973455715
Tm_MP,18848.625659050966,18272.556621880998,0.030562919949197652
Tm_ORB,803.1247803163444,777.9635316698657,0.031329189763722495
Tm_TOV,1017.103690685413,991.0940499040307,0.02557226074349869
Tm_TRB,3468.4991212653777,3366.84452975048,0.029307947893558072
Total_Days_Injured,178.8224956063269,186.9923224568138,0.04568679585186268
True_Usage%,5.702882249560632,6.228234165067178,0.0921204213092298
Turnover_Usage%,0.6193145869947275,0.677024952015355,0.09318424954364196
USG%,18.140630797773653,18.213911290322578,0.004039577970900231
VORP,0.5001855287569573,0.5415322580645162,0.08266278596709825
WS,2.1636363636363636,2.289516129032258,0.0581797235022773
WS/48,0.07647495361781076,0.08010080645161291,0.04741229202799137
Wins,41.355704697986575,41.42216981132076,0.0016071570734814808
Years_of_Service,7.402460456942004,7.483673469387755,0.010971083590129658
eFG%,50.67101933216169,51.037370441458734,0.007229992885982982
