Service,season,minimum_contract_value
3,2019-20,1678854
4,2019-20,1737145
5,2019-20,1882867
6,2019-20,2028594
7,2019-20,2174318
8,2019-20,2320044
9,2019-20,2331593
10+,2019-20,2564753
0,2020-21,898310
1,2020-21,1445697
2,2020-21,1620564
3,2020-21,1678854
4,2020-21,1737145
5,2020-21,1882867
6,2020-21,2028594
7,2020-21,2174318
8,2020-21,2320044
9,2020-21,2331593
10+,2020-21,2564753
0,2021-22,925258
1,2021-22,1489065
2,2021-22,1669178
3,2021-22,1729217
4,2021-22,1789256
5,2021-22,1939350
6,2021-22,2089448
7,2021-22,2239544
8,2021-22,2389641
9,2021-22,2401537
10+,2021-22,2641691
0,2022-23,1017781
1,2022-23,1637966
2,2022-23,1836090
3,2022-23,1902133
4,2022-23,1968175
5,2022-23,2133278
6,2022-23,2298385
7,2022-23,2463490
8,2022-23,2628597
9,2022-23,2641682
10+,2022-23,2905851
0,2023-24,1119563
1,2023-24,1801769
2,2023-24,2019706
3,2023-24,2092354
4,2023-24,2165000
5,2023-24,2346614
6,2023-24,2528233
7,2023-24,2709849
8,2023-24,2891467
9,2023-24,2905861
10+,2023-24,3196448
0,2024-25,1157153
1,2024-25,1862265
2,2024-25,2087519
3,2024-25,2162606
4,2024-25,2237691
5,2024-25,2425403
6,2024-25,2613120
7,2024-25,2800834
8,2024-25,2988550
9,2024-25,3003427
10+,2024-25,3303771
0,2025-26,1272870
1,2025-26,2048494
2,2025-26,2296274
3,2025-26,2378870
4,2025-26,2461463
5,2025-26,2667947
6,2025-26,2874436
7,2025-26,3080921
8,2025-26,3287409
9,2025-26,3303774
10+,2025-26,3634153
0,2026-27,1361969
1,2026-27,2191885
2,2026-27,2457009
3,2026-27,2545386
4,2026-27,2633761
5,2026-27,2854698
6,2026-27,3075641
7,2026-27,3296580
8,2026-27,3517521
9,2026-27,3535032
10+,2026-27,3888537
0,2027-28,1498164
1,2027-28,2411071
2,2027-28,2702707
3,2027-28,2799922
4,2027-28,2897134
5,2027-28,3140164
6,2027-28,3383201
7,2027-28,3626234
8,2027-28,3869269
9,2027-28,3888531
10+,2027-28,4277386
0,2028-29,1573073
1,2028-29,2531625
2,2028-29,2837843
3,2028-29,2939919
4,2028-29,3041991
5,2028-29,3297173
6,2028-29,3552362
7,2028-29,3807547
8,2028-29,4062734
9,2028-29,4082959
10+,2028-29,4491256
