feature,mi_score
MIN_RANK,0.6657252447131006
FGM_RANK,0.6597499881588709
FGA_RANK,0.6300560675491136
MIN,0.617187511763861
PTS_RANK,0.6166831352810753
DD2_RANK,0.6147402725503484
TD3_RANK,0.6020236559217191
PLAYER_POSS,0.5969182346063358
OFFENSIVE_LOAD%,0.5882861546092171
USG%,0.5819449734074551
FG,0.5749293521379855
SCORING_USAGE%,0.5693611711464595
TRUE_USAGE%,0.565212583420319
PTS,0.5635340422404358
FTA_RANK,0.5620497535183473
FGA,0.5613878421134508
MP,0.5590674450645956
FTM_RANK,0.5519072130624849
2P,0.5506230848152684
PFD_RANK,0.5427004384220071
2PA,0.542029337846941
TOV_RANK,0.5414261901447537
FT,0.5391341280577064
DRB,0.5356701318012442
FGM,0.5344060258195338
FTA,0.5155204972937941
DREB_RANK,0.5140195104973646
TOV,0.4902423961213538
TRB,0.47949821173428653
TURNOVER_USAGE%,0.47220492264469804
STL_RANK,0.47140671372135223
AST_RANK,0.46953992230713304
GP_RANK,0.46378711631293346
CONTESTED_SHOTS,0.4610456687697919
FG3M_RANK,0.45995922606777384
REB_RANK,0.45939550536795615
E_USG_PCT_RANK,0.45859654599871735
BLKA_RANK,0.4554690936071255
AST,0.45469643245384894
FG3A_RANK,0.44809569107765324
3PA,0.4479276149589717
GP,0.44461665658714633
DEFLECTIONS,0.442410285726238
CONTESTED_SHOTS_3PT,0.4381144666976473
OBPM,0.43759994716009576
CONTESTED_SHOTS_2PT,0.4295169683484179
PF_RANK,0.42897208854554236
PER,0.42735421082082947
PLAYMAKING_USAGE%,0.4258022398824295
STL,0.4242886833819757
PF,0.4213805229517167
VORP,0.4202122432765032
GS,0.4196238381300281
REB,0.41495763985222833
WS,0.4132584407933386
DEF_POSS_SPOTUP,0.4116867725129998
BPM,0.40870651927890833
FTM,0.39866214269329703
FG3A,0.39681992175741687
AST%,0.3959194222847957
PFD,0.39393316126818956
WS_rollmean_3,0.39289519101716763
OWS,0.3838460304683746
DREB,0.37893879011796994
OFF_POSS_TRANSITION,0.37732899945751575
3P,0.37501640626966903
DWS,0.34733013108293376
FG3M,0.32944830726499275
ORB,0.3109081498725672
OFF_POSS_MISC,0.3075307158730287
BLK,0.300849801271335
VORP_BBREF,0.2911065584269723
DEF_POSS_POSTUP,0.2787977262256214
OFF_POSS_PRBALLHANDLER,0.26489054831484804
BLKA,0.2619203787408475
DWS_BBREF,0.24913615569770275
DEF_POSS_OFFSCREEN,0.24844811661966526
OFF_POSS_ISOLATION,0.24143292586487997
BPM_BBREF,0.2414091854777114
OFF_PPP_ISOLATION,0.23544803779108303
DEF_POSS_PRROLLMAN,0.23301962366830553
OFF_POSS_HANDOFF,0.2225018772333489
DD2,0.19953290877587815
DEF_EFG_PCT_PRROLLMAN,0.1983657269146284
OFF_EFG_PCT_ISOLATION,0.19535904356522904
OFF_FT_POSS_PCT_ISOLATION,0.18927764486950682
DEF_FG_PCT_PRROLLMAN,0.18432304602031824
OFF_FG_PCT_ISOLATION,0.18377947913505022
DEF_PPP_PRROLLMAN,0.1796433160054871
OFF_POSS_OFFSCREEN,0.1585955943826738
OFF_POSS_POSTUP,0.15392955269769848
DEF_FT_POSS_PCT_PRROLLMAN,0.1456344964721823
OFF_EFG_PCT_OFFSCREEN,0.14515322195214875
OFF_FT_POSS_PCT_OFFSCREEN,0.13889259431628043
OFF_PPP_OFFSCREEN,0.1380258520351063
OFF_FG_PCT_OFFSCREEN,0.13067449968696065
OFF_FT_POSS_PCT_POSTUP,0.12873214724258064
OFF_FG_PCT_POSTUP,0.11477103075354345
OFF_PPP_POSTUP,0.10738567196336923
OFF_EFG_PCT_POSTUP,0.09835904847793309
